id,meal_name,energy,protein,fat,cho,consistency,dish_type,color,main_ingredient_1,main_ingredient_2,meal_group
279,Sebzeli Bulgur Pilavı,230.89,5.57,5.73,38.54,0,2,,3,2,12
280,Sebzeli Güveç,276.79,26.51,13.84,11.09,0,1,1,0,2,2
281,Sebzeli Köfte,282.02,27.01,14.09,11.34,0,1,1,0,2,18
282,Sebzeli Pirinç Pilavı,306.66,5.27,9.62,49.26,0,2,,3,2,12
283,Soslu Makarna,256.64,7.73,5.77,42.82,0,2,1,3,,12
284,Sulu Köfte,258.64,25.99,14.02,6.88,1,1,1,0,,18
285,Supangle,373.55,7.62,8.34,66.19,0,3,,1,3,15
286,Sütlaç,321.64,7.47,7.24,55.96,0,3,2,1,3,15
287,Şehriye Çorba,132.72,3.38,5.96,15.34,1,2,1,3,,10
288,Şehriyeli Pirinç Pilavı,326.71,5.7,9.65,53.71,0,2,2,3,,12
289,Şekerpare,491.2,8.4,9.96,90.41,0,3,,3,,15
290,Tas Kebabı,368.04,35,16.66,18.72,0,1,1,0,2,17
291,Tavuk Kavurma,231.49,35.6,9.81,0.03,0,1,1,0,,3
292,Tavuk Suyuna Şehriye Çorba,191.61,11.32,5.64,22.94,1,2,2,3,,10
293,Tavuk Şinitzel,352.38,38.37,16.87,11.64,0,1,,0,,3
294,Tavuk Şiş,196.33,31.02,5.82,4.28,0,1,,0,,3
295,Terbiyeli Köfte,358.44,29.05,15.23,25.78,0,1,2,0,1,18
296,Toyga Çorba,193.98,7.26,9.31,19.64,1,2,2,1,4,10
297,Tutmaç Çorba,153.57,3.7,5.65,19.75,1,2,2,1,4,10
298,Vişne Komposto,193.5,0.54,0.3,45.85,1,3,1,5,,15
299,Yayla Çorba,274.4,9.79,12.58,29.24,1,2,2,1,3,10
300,Yeşil Mercimekli Bulgur Pilavı,274.95,7.98,5.79,47.05,0,2,2,3,4,12
301,Yeşil Salata,95.2,3.55,5.7,4.98,0,3,0,2,,14
302,Yoğurtlu Semizotu Salatası,171.28,7.7,11.76,7.52,0,3,2,2,3,14
303,Yörük Çorba,252.14,10.51,6.12,36.07,1,2,2,4,3,10
304,Yüksük Çorba,150.46,5.56,7.8,14.3,1,2,1,3,4,10
305,Zeytinyağlı Ispanak,137.83,7.12,5.81,12.77,0,2,0,2,,7
306,Zeytinyağlı Kuru Börülce,276.81,15.83,6.43,37.43,0,2,1,4,,8
307,Zeytinyağlı Pırasa,173.39,4.99,10.79,12.56,0,2,,2,,7
308,Zeytinyağlı Taze Fasulye,150.2,5.98,5.95,15.68,0,2,1,2,,7
309,Ayran,89.79,5.04,4.88,5.68,1,3,2,1,,14
310,Çiftlik Köfte,305.39,20.68,15.47,20.49,0,1,1,0,2,18
311,Domatesli Pirinç Çorba,114.63,1.59,6.2,12.99,1,2,1,3,,10
312,Elma Komposto,201.85,0.22,0.03,49.25,1,3,,5,,15
313,Fırın Makarna,505.02,17.28,25.37,51.65,0,2,2,3,,12
314,Haşlama Tavuk,401.25,37.84,22.43,11.74,0,1,2,0,,3
315,Havuç Salata,106.8,1.01,7.72,8.16,0,3,1,2,,14
316,Kabak Kalye (Yoğurtlu),237.98,18.91,13.2,9.9,0,1,,2,1,4
317,Karışık Salata,110.58,1.27,10.28,2.89,0,3,,2,,14
318,Kırmızı Lahana Salatası,90.21,1.5,7.68,3.54,0,3,,2,,14
319,Kıymalı Semizotu (Yoğurtlu),255.4,18.55,13.37,14.34,0,1,,2,1,4
320,Kıymalı Tepsi Böreği,372.94,13.2,17.12,40.79,0,2,,0,1,11
321,Kuru Erik Hoşafı,184.89,0.88,0.15,42.79,1,3,,5,,15
322,Kuru Kayısı Hoşafı,181.19,1.25,0.13,41.91,1,3,,5,,15
323,Kuru Üzüm Hoşafı,194.51,0.71,0.29,45.92,0,3,,5,,15
324,Peynirli Makarna,360.86,10.36,16.59,42.27,0,2,2,3,1,12
325,Püreli Fırın Köfte,288.72,19.39,13.94,21,0,1,,0,3,18
326,Püreli Söğüş Et,357.47,36.18,17.37,13.67,0,1,,0,3,2
327,Şeftali Komposto,186.76,0.46,0.07,45.25,1,3,,5,,15
328,Şehriye Çorba,115.65,2.62,5.27,14.37,1,2,,3,,10
329,Yoğurt,138.15,7.76,7.5,8.74,1,3,2,1,,14
330,Yoğurtlu Havuç Kızartma,231.14,5.89,14.07,19.76,0,2,,1,2,7
331,Yoğurtlu Karnabahar Kızartma,214.56,7.34,14.13,13.94,0,2,,1,2,7
332,Yumurtalı Ispanak,212.38,12.91,16.23,2.88,0,1,0,2,,13
